SITEID,STARTDATE,ENDDATE,PBM,GOM,GEM,Valid_gem,gemValPct
VT99,2/11/2009 16:05,2/11/2009 18:05,6.431,7.095,1.873,22,100
VT99,2/11/2009 19:05,2/11/2009 21:05,4.558,12.921,1.757,22,100
VT99,2/11/2009 22:05,2/12/2009 0:05,3.6,1.545,1.834,22,100
VT99,2/12/2009 1:05,2/12/2009 3:05,1.984,0.477,1.796,22,100
VT99,2/12/2009 4:05,2/12/2009 6:05,2.162,0.941,1.768,22,100
VT99,2/12/2009 7:00,2/12/2009 10:05,4.126,1.074,1.907,23,65
VT99,2/12/2009 11:05,2/12/2009 13:05,4.882,0.457,1.891,22,100
VT99,2/12/2009 14:05,2/12/2009 16:05,3.517,1.651,1.756,22,100
VT99,2/12/2009 17:05,2/12/2009 19:05,4.876,1.212,1.831,22,100
VT99,2/12/2009 20:05,2/12/2009 22:05,1.006,0.1,1.734,22,100
VT99,2/12/2009 23:05,2/13/2009 1:05,0.89,0,1.799,22,100
VT99,2/13/2009 2:05,2/13/2009 4:05,1.561,0,1.748,22,100
VT99,2/13/2009 5:05,2/13/2009 7:05,6.374,0.33,1.634,22,100
VT99,2/13/2009 8:00,2/13/2009 11:05,8.16,0.405,1.64,23,65
VT99,2/13/2009 12:05,2/13/2009 14:05,13.226,0.26,1.607,22,100
VT99,2/13/2009 15:05,2/13/2009 17:05,13.469,0.599,1.495,21,95
VT99,2/13/2009 18:05,2/13/2009 20:05,19.872,0.777,1.467,22,100
VT99,2/13/2009 21:05,2/13/2009 23:05,15.675,1.047,1.456,22,100
VT99,2/14/2009 0:05,2/14/2009 2:05,13.444,0.612,1.472,22,100
VT99,2/14/2009 3:05,2/14/2009 5:05,14.894,0.86,1.476,22,100
VT99,2/14/2009 6:05,2/14/2009 8:05,15.775,0.621,1.472,22,100
VT99,2/14/2009 9:00,2/14/2009 12:05,20.75,0.515,1.545,23,65
VT99,2/14/2009 13:05,2/14/2009 15:05,20.85,1.487,1.572,22,100
VT99,2/14/2009 16:05,2/14/2009 18:05,24.979,2.616,1.586,22,100
VT99,2/14/2009 19:05,2/14/2009 21:05,24.851,3.023,1.578,22,100
